ordinal_id,geo_id,volume
288,504403570582356040,Pixel::NegativeEndcap
289,504403570582356041,Pixel::NegativeEndcap
290,504403570582356042,Pixel::NegativeEndcap
291,504403570582356043,Pixel::NegativeEndcap
292,504403570582356044,Pixel::NegativeEndcap
293,504403570582356045,Pixel::NegativeEndcap
294,504403570582356046,Pixel::NegativeEndcap
295,504403570582356047,Pixel::NegativeEndcap
296,504403570582356048,Pixel::NegativeEndcap
297,504403570582356049,Pixel::NegativeEndcap
298,504403570582356050,Pixel::NegativeEndcap
299,504403570582356051,Pixel::NegativeEndcap
300,504403570582356052,Pixel::NegativeEndcap
301,504403570582356053,Pixel::NegativeEndcap
302,504403570582356054,Pixel::NegativeEndcap
303,504403570582356055,Pixel::NegativeEndcap
304,504403570582356056,Pixel::NegativeEndcap
305,504403570582356057,Pixel::NegativeEndcap
306,504403570582356058,Pixel::NegativeEndcap
307,504403570582356059,Pixel::NegativeEndcap
308,504403570582356060,Pixel::NegativeEndcap
309,504403570582356061,Pixel::NegativeEndcap
310,504403570582356062,Pixel::NegativeEndcap
311,504403570582356063,Pixel::NegativeEndcap
312,504403570582356064,Pixel::NegativeEndcap
313,504403570582356065,Pixel::NegativeEndcap
314,504403570582356066,Pixel::NegativeEndcap
315,504403570582356067,Pixel::NegativeEndcap
316,504403570582356068,Pixel::NegativeEndcap
317,504403570582356069,Pixel::NegativeEndcap
318,504403570582356070,Pixel::NegativeEndcap
319,504403570582356071,Pixel::NegativeEndcap
320,504403570582356072,Pixel::NegativeEndcap
321,504403570582356073,Pixel::NegativeEndcap
322,504403570582356074,Pixel::NegativeEndcap
323,504403570582356075,Pixel::NegativeEndcap
324,504403570582356076,Pixel::NegativeEndcap
325,504403708021309441,Pixel::NegativeEndcap
326,504403708021309442,Pixel::NegativeEndcap
327,504403708021309443,Pixel::NegativeEndcap
328,504403708021309444,Pixel::NegativeEndcap
329,504403708021309445,Pixel::NegativeEndcap
330,504403708021309446,Pixel::NegativeEndcap
331,504403708021309447,Pixel::NegativeEndcap
332,504403708021309448,Pixel::NegativeEndcap
333,504403708021309449,Pixel::NegativeEndcap
334,504403708021309450,Pixel::NegativeEndcap
335,504403708021309451,Pixel::NegativeEndcap
336,504403708021309452,Pixel::NegativeEndcap
337,504403708021309453,Pixel::NegativeEndcap
338,504403708021309454,Pixel::NegativeEndcap
339,504403708021309455,Pixel::NegativeEndcap
340,504403708021309456,Pixel::NegativeEndcap
341,504403708021309457,Pixel::NegativeEndcap
342,504403708021309458,Pixel::NegativeEndcap
343,504403708021309459,Pixel::NegativeEndcap
344,504403708021309460,Pixel::NegativeEndcap
345,504403708021309461,Pixel::NegativeEndcap
346,504403708021309462,Pixel::NegativeEndcap
347,504403708021309463,Pixel::NegativeEndcap
348,504403708021309464,Pixel::NegativeEndcap
349,504403708021309465,Pixel::NegativeEndcap
350,504403708021309466,Pixel::NegativeEndcap
351,504403708021309467,Pixel::NegativeEndcap
352,504403708021309468,Pixel::NegativeEndcap
353,504403708021309469,Pixel::NegativeEndcap
354,504403708021309470,Pixel::NegativeEndcap
355,504403708021309471,Pixel::NegativeEndcap
356,504403708021309472,Pixel::NegativeEndcap
357,504403708021309473,Pixel::NegativeEndcap
358,504403708021309474,Pixel::NegativeEndcap
359,504403708021309475,Pixel::NegativeEndcap
360,504403708021309476,Pixel::NegativeEndcap
361,504403708021309477,Pixel::NegativeEndcap
362,504403708021309478,Pixel::NegativeEndcap
363,504403708021309479,Pixel::NegativeEndcap
364,504403708021309480,Pixel::NegativeEndcap
365,504403708021309481,Pixel::NegativeEndcap
366,504403708021309482,Pixel::NegativeEndcap
367,504403708021309483,Pixel::NegativeEndcap
368,504403708021309484,Pixel::NegativeEndcap
369,504403708021309485,Pixel::NegativeEndcap
370,504403708021309486,Pixel::NegativeEndcap
371,504403708021309487,Pixel::NegativeEndcap
372,504403708021309488,Pixel::NegativeEndcap
373,504403708021309489,Pixel::NegativeEndcap
374,504403708021309490,Pixel::NegativeEndcap
375,504403708021309491,Pixel::NegativeEndcap
376,504403708021309492,Pixel::NegativeEndcap
377,504403708021309493,Pixel::NegativeEndcap
378,504403708021309494,Pixel::NegativeEndcap
379,504403708021309495,Pixel::NegativeEndcap
380,504403708021309496,Pixel::NegativeEndcap
381,504403708021309497,Pixel::NegativeEndcap
382,504403708021309498,Pixel::NegativeEndcap
383,504403708021309499,Pixel::NegativeEndcap
384,504403708021309500,Pixel::NegativeEndcap
385,504403708021309501,Pixel::NegativeEndcap
386,504403708021309502,Pixel::NegativeEndcap
387,504403708021309503,Pixel::NegativeEndcap
388,504403708021309504,Pixel::NegativeEndcap
389,504403708021309505,Pixel::NegativeEndcap
390,504403708021309506,Pixel::NegativeEndcap
391,504403708021309507,Pixel::NegativeEndcap
392,504403708021309508,Pixel::NegativeEndcap
393,504403708021309509,Pixel::NegativeEndcap
394,504403708021309510,Pixel::NegativeEndcap
395,504403708021309511,Pixel::NegativeEndcap
396,504403708021309512,Pixel::NegativeEndcap
397,504403708021309513,Pixel::NegativeEndcap
398,504403708021309514,Pixel::NegativeEndcap
399,504403708021309515,Pixel::NegativeEndcap
400,504403708021309516,Pixel::NegativeEndcap
401,504403708021309517,Pixel::NegativeEndcap
402,504403708021309518,Pixel::NegativeEndcap
403,504403708021309519,Pixel::NegativeEndcap
404,504403708021309520,Pixel::NegativeEndcap
405,504403708021309521,Pixel::NegativeEndcap
406,504403708021309522,Pixel::NegativeEndcap
407,504403708021309523,Pixel::NegativeEndcap
408,504403708021309524,Pixel::NegativeEndcap
409,504403708021309525,Pixel::NegativeEndcap
410,504403708021309526,Pixel::NegativeEndcap
411,504403708021309527,Pixel::NegativeEndcap
412,504403708021309528,Pixel::NegativeEndcap
413,504403708021309529,Pixel::NegativeEndcap
414,504403708021309530,Pixel::NegativeEndcap
415,504403708021309531,Pixel::NegativeEndcap
416,504403708021309532,Pixel::NegativeEndcap
417,504403708021309533,Pixel::NegativeEndcap
418,504403708021309534,Pixel::NegativeEndcap
419,504403708021309535,Pixel::NegativeEndcap
